Generation,Min Conflict,Max Conflict,Avg Conflict
1,6,25,13.920000
2,3,23,13.590000
3,3,22,12.750000
4,3,21,11.810000
5,3,19,10.810000
6,3,23,10.330000
7,3,21,10.650000
8,3,18,10.470000
9,3,18,9.400000
10,3,16,8.930000
11,3,16,8.420000
12,3,17,7.850000
13,3,15,7.690000
14,3,13,6.680000
15,3,12,6.270000
16,2,11,5.410000
17,3,9,4.770000
18,2,8,4.410000
19,2,7,3.980000
20,2,7,3.750000
21,2,7,3.370000
22,2,8,3.250000
23,2,6,3.090000
24,2,10,2.990000
25,2,7,2.920000
26,1,7,2.950000
27,1,5,2.840000
28,1,5,2.760000
29,1,6,2.630000
30,1,5,2.530000
31,1,4,2.180000
32,1,7,2.090000
33,1,10,2.020000
34,1,9,2.050000
35,1,6,2.090000
36,1,5,2.090000
37,1,7,2.050000
38,1,6,1.830000
39,1,7,1.870000
40,1,8,1.980000
41,0,8,1.700000
42,0,6,1.620000
43,0,8,1.530000
44,0,4,1.430000
45,0,7,1.290000
46,0,5,1.250000
47,0,3,1.160000
48,0,4,1.090000
49,0,2,0.890000
50,0,3,0.720000
51,0,1,0.590000
52,0,4,0.090000
53,0,5,0.130000
54,0,4,0.130000
55,0,6,0.180000
56,0,4,0.210000
57,0,3,0.030000
58,0,0,0.000000
