Generation,Min Conflict,Max Conflict,Avg Conflict
1,25,51,36.070000
2,25,45,33.540000
3,23,48,32.590000
4,18,42,31.590000
5,18,40,30.970000
6,18,42,30.350000
7,17,41,29.870000
8,18,37,28.970000
9,18,40,27.360000
10,16,36,26.410000
11,16,37,24.410000
12,16,33,23.050000
13,13,30,21.310000
14,12,31,20.890000
15,14,29,20.350000
16,13,27,19.610000
17,13,24,18.850000
18,13,26,17.840000
19,13,24,17.380000
20,12,24,16.660000
21,12,22,15.970000
22,12,21,15.260000
23,11,21,14.680000
24,11,19,14.490000
25,10,20,13.910000
26,10,19,13.680000
27,7,16,12.990000
28,6,17,11.940000
29,6,17,11.450000
30,6,16,11.080000
31,6,15,10.060000
32,6,15,9.070000
33,5,13,8.340000
34,6,14,7.710000
35,5,13,7.530000
36,6,11,7.150000
37,6,11,6.950000
38,5,10,6.670000
39,5,11,6.560000
40,5,9,6.360000
41,5,10,6.340000
42,5,9,6.270000
43,5,8,6.030000
44,5,9,5.970000
45,5,8,5.970000
46,5,9,5.870000
47,5,7,5.820000
48,5,7,5.650000
49,5,8,5.480000
50,5,9,5.440000
51,5,7,5.230000
52,5,7,5.200000
53,4,7,5.110000
54,5,6,5.050000
55,5,8,5.030000
56,5,7,5.020000
57,4,8,5.030000
58,5,7,5.040000
59,5,10,5.080000
60,4,8,5.050000
61,4,9,5.050000
62,5,6,5.020000
63,5,8,5.040000
64,5,8,5.050000
65,4,9,5.040000
66,4,9,5.140000
67,4,7,5.020000
68,4,9,5.000000
69,4,8,5.020000
70,4,9,5.050000
71,4,8,5.000000
72,4,7,4.860000
73,4,9,4.880000
74,4,7,4.820000
75,4,8,4.660000
76,4,8,4.580000
77,4,7,4.520000
78,4,6,4.400000
79,3,8,4.300000
80,3,6,4.060000
81,3,6,3.970000
82,3,7,3.950000
83,3,6,3.780000
84,3,5,3.700000
85,3,6,3.640000
86,3,6,3.570000
87,3,5,3.450000
88,3,6,3.320000
89,3,5,3.250000
90,3,4,3.160000
91,3,5,3.070000
92,3,6,3.110000
93,3,5,3.120000
94,3,5,3.120000
95,3,4,3.080000
96,3,5,3.070000
97,3,6,3.060000
98,3,4,3.020000
99,3,5,3.020000
100,3,4,3.020000
101,3,7,3.090000
102,3,5,3.060000
103,3,7,3.180000
104,3,9,3.180000
105,3,9,3.210000
106,3,6,3.190000
107,3,5,3.080000
108,2,5,3.070000
109,2,5,3.060000
110,2,7,3.050000
111,2,4,3.040000
112,2,5,2.980000
113,2,6,2.960000
114,2,7,3.060000
115,2,5,3.000000
116,2,5,2.870000
117,2,6,2.900000
118,2,5,2.860000
119,2,8,2.830000
120,2,8,2.830000
121,2,7,2.830000
122,2,7,2.750000
123,2,6,2.860000
124,2,4,2.800000
125,2,6,2.610000
126,2,5,2.490000
127,2,8,2.460000
128,2,4,2.360000
129,2,5,2.230000
130,2,6,2.190000
131,2,7,2.190000
132,2,5,2.070000
133,2,3,2.040000
134,2,4,2.040000
135,2,5,2.100000
136,2,2,2.000000
137,2,4,2.030000
138,2,5,2.110000
139,2,5,2.100000
140,2,4,2.080000
141,2,5,2.050000
142,2,5,2.050000
143,2,3,2.010000
144,2,4,2.020000
145,2,2,2.000000
146,2,5,2.030000
147,2,5,2.050000
148,2,5,2.040000
149,2,6,2.140000
150,2,5,2.140000
151,2,4,2.070000
152,2,4,2.020000
153,2,6,2.040000
154,2,4,2.060000
155,2,5,2.080000
156,2,5,2.070000
157,2,2,2.000000
158,2,5,2.080000
159,2,4,2.040000
160,2,6,2.090000
161,2,4,2.130000
162,2,4,2.050000
163,1,6,2.040000
164,1,5,2.060000
165,1,3,1.980000
166,1,3,1.940000
167,1,4,1.940000
168,1,5,1.910000
169,1,2,1.930000
170,1,4,1.120000
171,1,4,1.100000
172,1,3,1.080000
173,1,1,1.000000
174,1,3,1.040000
175,1,3,1.040000
176,1,4,1.060000
177,1,1,1.000000
178,1,4,1.090000
179,1,4,1.030000
180,1,5,1.060000
181,1,4,1.090000
182,1,2,1.020000
183,1,2,1.020000
184,1,3,1.040000
185,1,3,1.060000
186,1,1,1.000000
187,1,2,1.020000
188,1,3,1.060000
189,1,2,1.020000
190,1,4,1.130000
191,1,2,1.020000
192,1,5,1.060000
193,1,5,1.060000
194,1,4,1.110000
195,1,4,1.080000
196,1,3,1.040000
197,1,4,1.040000
198,1,4,1.100000
199,1,2,1.010000
200,1,3,1.040000
201,1,4,1.060000
202,1,3,1.050000
203,1,3,1.050000
204,1,2,1.020000
205,1,5,1.100000
206,1,4,1.100000
207,1,3,1.040000
208,1,3,1.030000
209,1,4,1.030000
210,1,5,1.040000
211,1,2,1.010000
212,1,5,1.080000
213,1,4,1.040000
214,1,3,1.030000
215,1,3,1.030000
216,1,2,1.010000
217,1,3,1.020000
218,1,3,1.030000
219,1,5,1.040000
220,1,3,1.050000
221,1,4,1.070000
222,1,3,1.040000
223,1,3,1.040000
224,1,4,1.080000
225,1,4,1.030000
226,1,3,1.050000
227,1,1,1.000000
228,1,1,1.000000
229,1,3,1.070000
230,1,3,1.030000
231,1,3,1.060000
232,1,4,1.070000
233,1,4,1.050000
234,1,4,1.090000
235,1,7,1.150000
236,1,5,1.160000
237,1,4,1.210000
238,1,5,1.140000
239,1,2,1.050000
240,1,4,1.080000
241,1,4,1.090000
242,1,4,1.080000
243,1,3,1.030000
244,1,4,1.050000
245,1,3,1.110000
