Generation,Min Conflict,Max Conflict,Avg Conflict
1,1,71,5.220000
2,1,27,4.510000
3,1,53,4.260000
4,1,54,4.160000
5,1,2,3.910000
6,1,48,3.320000
7,1,98,3.170000
8,0,3,2.870000
9,1,19,2.810000
10,1,14,3.010000
11,0,48,2.750000
12,0,92,2.550000
13,0,66,2.220000
14,0,0,2.200000
15,0,23,1.980000
16,0,3,1.760000
17,0,90,1.600000
18,0,70,1.620000
19,0,6,1.530000
20,0,26,1.500000
21,0,5,1.380000
22,0,65,1.070000
23,0,20,0.830000
24,0,23,0.770000
25,0,21,0.620000
26,0,45,0.510000
27,0,15,0.390000
28,0,70,0.310000
29,0,8,0.240000
30,0,53,0.130000
