Generation,Min Conflict,Max Conflict,Avg Conflict
1,85,139,107.860000
2,86,150,107.860000
3,86,136,107.940000
4,86,133,107.290000
5,90,131,107.180000
6,85,136,107.480000
7,86,128,107.370000
8,88,123,106.670000
9,88,121,104.620000
10,91,120,104.530000
11,88,124,105.060000
12,80,125,104.900000
13,80,138,107.270000
14,83,131,108.900000
15,83,131,107.830000
16,88,126,108.030000
17,89,125,109.080000
18,89,126,108.800000
19,87,146,109.320000
20,87,130,108.190000
21,87,130,108.440000
22,90,128,108.840000
23,91,130,109.780000
24,91,129,109.190000
25,87,134,107.850000
26,88,127,107.590000
27,84,145,107.510000
28,88,126,107.260000
29,85,127,107.400000
30,80,129,107.660000
31,85,133,108.140000
32,84,129,107.400000
33,84,132,107.230000
34,80,129,107.310000
35,88,129,108.670000
36,88,131,108.010000
37,82,142,107.880000
38,82,136,109.060000
39,84,128,108.240000
40,84,129,107.450000
41,86,131,106.360000
42,87,139,107.070000
43,87,120,106.400000
44,85,129,106.070000
45,87,136,106.570000
46,87,126,107.110000
47,87,123,106.710000
48,87,135,106.680000
49,88,122,106.680000
50,86,127,106.200000
51,87,128,106.310000
52,81,126,105.610000
53,87,121,105.390000
54,82,122,105.080000
55,82,122,105.440000
56,81,121,105.290000
57,81,124,104.920000
58,81,126,105.170000
59,81,128,105.360000
60,86,121,103.850000
61,86,122,103.720000
62,77,125,103.570000
63,75,123,103.810000
64,75,124,104.500000
65,75,133,104.940000
66,79,131,104.980000
67,77,123,104.690000
68,77,124,105.930000
69,76,122,105.780000
70,76,123,105.710000
71,76,125,105.380000
72,77,131,105.770000
73,82,126,104.530000
74,87,122,104.470000
75,89,121,104.860000
76,86,121,104.220000
77,79,128,103.940000
78,79,127,104.260000
79,79,130,105.590000
80,80,129,106.050000
81,83,127,105.240000
82,79,125,105.230000
83,83,135,105.920000
84,85,123,107.080000
85,91,128,106.540000
86,92,123,107.660000
87,86,126,106.210000
88,78,127,105.200000
89,77,123,104.860000
90,77,134,104.620000
91,82,136,104.670000
92,82,126,104.530000
93,81,140,104.370000
94,77,129,104.580000
95,77,127,104.230000
96,86,121,104.300000
97,81,122,103.670000
98,81,124,103.850000
99,84,124,103.980000
100,84,122,104.730000
101,84,129,103.790000
102,78,124,103.990000
103,78,124,104.610000
104,84,126,104.200000
105,86,129,104.150000
106,84,123,104.590000
107,81,136,105.090000
108,81,131,103.920000
109,81,121,103.370000
110,79,119,102.390000
111,81,121,101.680000
112,82,124,102.120000
113,82,119,102.550000
114,82,119,102.480000
115,83,120,103.390000
116,83,128,103.630000
117,82,135,103.670000
118,82,124,103.500000
119,82,120,103.070000
120,82,122,102.760000
121,82,125,102.710000
122,78,125,102.690000
123,73,120,102.720000
124,70,125,102.660000
125,70,120,102.710000
126,70,135,102.830000
127,70,128,102.780000
128,70,118,103.870000
129,79,133,104.360000
130,78,126,104.570000
131,81,128,103.470000
132,84,129,103.180000
133,79,120,102.710000
134,81,118,102.330000
135,74,118,103.130000
136,76,124,103.600000
137,86,123,102.980000
138,87,122,103.780000
139,88,122,103.440000
140,87,125,103.780000
141,90,122,103.380000
142,79,119,103.260000
143,79,136,103.600000
144,75,130,104.510000
145,75,134,103.480000
146,75,129,103.090000
147,78,127,103.100000
